631, 3.67
632, 3.10
633, 2.99
634, 2.82
635, 1.83
636, 4.78
637, 4.20
638, 3.27
639, 2.76
640, 1.74
641, 1.38
642, 4.52
643, 3.74
644, 3.08
645, 2.65
646, 2.44
647, 2.34
648, 2.12
649, 1.86
650, 4.90
651, 3.83
652, 3.10
653, 2.35
654, 2.16
655, 1.61
656, 4.59
657, 3.89
658, 2.79
659, 2.07
660, 1.44
661, 0.76
662, 3.94
663, 3.27
664, 2.22
665, 1.92
666, 1.39
667, 4.36
668, 3.78
669, 3.02
670, 2.17
671, 1.86
672, 1.76
673, 1.38
674, 1.16
675, 4.12
676, 3.62
677, 3.31
678, 2.94
679, 3.60
680, 2.54
681, 2.32
682, 1.70
683, 4.76
684, 4.32
685, 3.37
686, 2.42
687, 1.78
688, 1.32
689, 4.42
690, 3.65
691, 2.94
692, 2.27
693, 1.69
694, 4.81
695, 4.32
696, 3.91
697, 3.56
698, 2.78
699, 1.70
700, 1.46
701, 4.38
702, 4.13
703, 3.61
704, 3.40
705, 2.97
706, 2.33
707, 1.25
708, 0.85
709, 3.97
710, 3.28
711, 2.56
712, 2.00
713, 0.91
714, 3.92
715, 3.52
716, 2.90
717, 2.71
718, 2.57
719, 1.92
720, 1.33
721, 4.25
722, 3.26
723, 2.94
724, 2.16
725, 1.50
726, 0.98
727, 0.57
728, 3.96
729, 3.79
730, 2.68
731, 2.14
732, 2.08
733, 5.28
734, 4.80
735, 4.18
736, 3.58
737, 2.69
738, 2.20
739, 1.74
740, 4.86
741, 4.12
742, 3.64
743, 3.45
744, 3.13
745, 2.11
746, 1.87
747, 4.87
748, 4.74
749, 3.72
750, 2.89
751, 2.51
752, 1.51
753, 4.88
754, 4.76
755, 4.10
756, 3.48
757, 3.24
758, 2.44
759, 1.68
760, 1.06
761, 4.36
762, 3.74
763, 2.79
764, 2.56
765, 2.06
766, 1.38
767, 1.18
768, 4.38
769, 4.25
770, 4.08
771, 3.53
772, 2.96
773, 2.07
774, 1.64
775, 0.74
776, 4.04
777, 3.62
778, 2.64
779, 2.52
780, 1.78
781, 0.90
782, 4.08
783, 3.76
784, 4.26
785, 3.74
786, 3.52
787, 3.12
788, 2.70
789, 2.41
790, 1.42
791, 5.07
792, 4.65
793, 4.50
794, 4.01
795, 3.38
796, 3.01
797, 2.05
798, 1.70
799, 4.78
800, 4.25
801, 4.03
802, 3.18
803, 2.61
804, 2.19
805, 1.91
806, 1.68
807, 1.54
808, 4.54
809, 3.80
810, 3.36
811, 2.90
812, 2.54
813, 1.86
814, 1.07
815, 4.42
816, 3.91
817, 3.18
818, 3.09
819, 2.62
820, 1.60
821, 0.70
822, 4.38
823, 3.28
824, 2.68
825, 1.88
826, 1.16
827, 0.87
828, 4.20
829, 4.10
830, 3.08
831, 2.65
832, 2.44
833, 1.37
834, 1.24
835, 4.37
836, 4.48
837, 3.71
838, 2.72
839, 2.16
840, 1.92
841, 1.80
842, 1.40
843, 4.64
844, 3.89
845, 3.66
846, 3.08
847, 2.71
848, 2.23
849, 1.72
850, 4.61
851, 4.29
852, 3.90
853, 3.21
854, 2.48
855, 2.30
856, 1.64
857, 4.78
858, 4.24
859, 3.98
860, 3.59
861, 3.05
862, 2.65
863, 1.72
864, 0.89
865, 3.76
866, 2.78
867, 2.19
868, 1.97
869, 1.03
870, 0.91
871, 4.24
872, 3.18
873, 2.93
874, 2.59
875, 1.81
876, 1.33
877, 4.37
878, 3.48
879, 3.22
880, 2.10
881, 1.51
882, 1.33
883, 0.51
884, 3.93
885, 2.88
886, 2.41
887, 2.07
888, 2.43
889, 2.06
890, 5.30
891, 4.26
892, 4.10
893, 3.86
894, 2.88
895, 2.37
896, 1.98
897, 4.94
898, 4.22
899, 3.14
900, 2.94
901, 2.12
902, 1.31
903, 1.16
904, 4.74
905, 3.76
906, 3.47
907, 2.56
908, 2.24
909, 1.51
910, 4.68
911, 4.34
912, 3.34
913, 2.94
914, 2.39
915, 1.72
916, 4.78
917, 4.42
918, 4.30
919, 3.72
920, 3.37
921, 2.66
922, 2.24
923, 1.36
924, 4.69
925, 4.50
926, 4.34
927, 3.31
928, 2.19
929, 1.33
930, 4.24
931, 4.07
932, 3.52
933, 2.64
934, 1.94
935, 1.32
936, 1.16
937, 4.18
938, 3.39
939, 3.25
940, 3.08
941, 3.22
942, 2.86
943, 1.77
944, 1.52
945, 5.25
946, 4.60
947, 4.11
948, 3.59
949, 3.37
950, 2.60
951, 2.40
952, 1.77
953, 5.16
954, 4.84
955, 4.34
956, 3.32
957, 2.96
958, 2.04
959, 1.77
960, 1.17
961, 4.12
962, 3.55
963, 2.98
964, 2.54
965, 1.77
966, 1.64
967, 4.78
968, 3.76
969, 3.30
970, 2.80
971, 1.83
972, 1.22
973, 0.94
974, 4.33
975, 3.74
976, 3.33
977, 2.29
978, 1.99
979, 1.50
980, 0.97
981, 0.82
982, 3.96
983, 3.48
984, 3.29
985, 2.99
986, 2.83
987, 1.84
988, 1.08
989, 0.91
990, 4.18
991, 3.88
992, 2.84
993, 2.85
994, 2.32
995, 5.23
996, 4.22
997, 3.68
998, 2.60
999, 2.38
1000, 1.51
1001, 5.14
1002, 4.84
1003, 4.68
1004, 4.14
1005, 3.28
1006, 3.02
1007, 2.40
1008, 1.80
1009, 1.67
1010, 4.94
1011, 4.51
1012, 3.92
1013, 3.61
1014, 3.35
1015, 2.44
1016, 1.44
1017, 1.29
1018, 4.38
1019, 3.62
1020, 3.31
1021, 2.95
1022, 2.28
1023, 1.33
1024, 0.98
1025, 4.28
1026, 3.33
1027, 2.60
1028, 1.98
1029, 1.44
1030, 1.24
1031, 4.36
1032, 3.59
1033, 2.62
1034, 2.19
1035, 2.08
1036, 1.84
1037, 1.70
1038, 0.73
1039, 4.14
1040, 3.06
1041, 2.32
1042, 1.54
1043, 1.28
1044, 0.67
1045, 4.56
1046, 3.86
