"DeviceClean","DeviceNorm"
"RetroUSB - NES Wireless Gamepad [CH1]","retrousb nes wireless gamepad ch1"
"RetroUSB - NES Wireless Gamepad [CH2]","retrousb nes wireless gamepad ch2"
"RetroUSB - NES Wireless Gamepad [CH3]","retrousb nes wireless gamepad ch3"
"RetroUSB RetroKit Genesis [Wired USB]","retrousb retrokit genesis wired usb"
"RetroUSB RetroKit NES [Wired USB]","retrousb retrokit nes wired usb"
"RetroUSB RetroKit SNES [Wired USB]","retrousb retrokit snes wired usb"
"Retroflag Classic (SNES Style) [Wired USB]","retroflag classic snes style wired usb"
"Retroflag Genesis USB Controller [Wired USB]","retroflag genesis usb controller wired usb"
"Reyann Zero Delay Arcade USB Encoder [Wired USB]","reyann zero delay arcade usb encoder wired usb"
"SNK Neo-Geo Arcade Stick Pro [Wired USB Dinput (PC2)]","snk neo geo arcade stick pro wired usb dinput pc2"
"SNK Neo-Geo Arcade Stick Pro [Wired USB Neo-Geo Mini]","snk neo geo arcade stick pro wired usb neo geo mini"
"SNK Neo-Geo Mini [Wired USB]","snk neo geo mini wired usb"
"SNK Neo-Geo X [Wired USB]","snk neo geo x wired usb"
"Sega Astro City Mini Controller (ACS-1002) [Wired USB]","sega astro city mini controller acs 1002 wired usb"
"Sega Astro City Mini Real Arcade Stick [Wired USB]","sega astro city mini real arcade stick wired usb"
"Sega Genesis Mini 3 Button USB (MK-16500) [Wired USB]","sega genesis mini 3 button usb mk 16500 wired usb"
"Sony DualSense (Playstation 5) [BT (CSR8510)]","sony dualsense playstation 5 bt csr8510"
"Sony DualSense (Playstation 5) [Wired USB]","sony dualsense playstation 5 wired usb"
"Sony DualShock 3 [BT (CSR8510)]","sony dualshock 3 bt csr8510"
"Sony DualShock 3 [Wired USB]","sony dualshock 3 wired usb"
"Sony DualShock 4 (Rev2) [BT (CSR8510)]","sony dualshock 4 rev2 bt csr8510"
"Sony DualShock 4 (Rev2) [Sony DS4 Wireless Adapter]","sony dualshock 4 rev2 sony ds4 wireless adapter"
"Sony DualShock 4 (Rev2) [Wired USB]","sony dualshock 4 rev2 wired usb"
"Sony Playstation Classic [Wired USB]","sony playstation classic wired usb"
"Tata Kiwitata [Wired USB]","tata kiwitata wired usb"
"Timville Triple Controller [Wired USB]","timville triple controller wired usb"
"Toodles MC Cthlulhu [Wired USB]","toodles mc cthlulhu wired usb"
"Ultimarc I-PAC (2004) [Wired USB]","ultimarc i pac 2004 wired usb"
"Ultimarc I-PAC Ultimate [Wired USB]","ultimarc i pac ultimate wired usb"
"Ultimarc I-PAC2 [Wired USB]","ultimarc i pac2 wired usb"
"Ultimarc J-PAC [Wired USB]","ultimarc j pac wired usb"
"Unbranded NES USB [Wired USB]","unbranded nes usb wired usb"
"Vilrose Retro Gaming Genesis Controller [Wired USB]","vilrose retro gaming genesis controller wired usb"
"Vilrose Retro Gaming Weighted SNES Controller [Wired USB]","vilrose retro gaming weighted snes controller wired usb"
"XinMoTek XM-08 USB Adapter [Wired USB]","xinmotek xm 08 usb adapter wired usb"
"YoK Playstation Classic Wireless Controller [Wireless USB Dongle]","yok playstation classic wireless controller wireless usb dongle"
"atrac17 + DJHardRich RP2040 LS-30 Rotary Encoder [Wired USB]","atrac17 djhardrich rp2040 ls 30 rotary encoder wired usb"
"bootsector LLOAD [Wired USB]","bootsector lload wired usb"
"bootsector RetroFi [2.4GHz USB]","bootsector retrofi 2 4ghz usb"
"bootsector RetroPad32 [Wired USB]","bootsector retropad32 wired usb"
"iNNEXT SNES Retro USB [Wired USB]","innext snes retro usb wired usb"
