"DeviceClean","DeviceNorm"
"8BitDo SN30 (Model 80BA) [BT (CSR8510) MacOS] FW 4.1","8bitdo sn30 model 80ba bt csr8510 macos fw 4 1"
"8BitDo SN30 (Model 80BA) [BT (CSR8510) Windows] FW 4.1","8bitdo sn30 model 80ba bt csr8510 windows fw 4 1"
"8BitDo SN30 (Model 80BA) [Wired USB] FW 4.1","8bitdo sn30 model 80ba wired usb fw 4 1"
"8BitDo SN30 2.4G SNES (Model 81AD) [DaemonBite SNES]","8bitdo sn30 2 4g snes model 81ad daemonbite snes"
"8BitDo SN30 2.4G SNES (Model 81AD) [Wired USB]","8bitdo sn30 2 4g snes model 81ad wired usb"
"8BitDo SN30 2.4G SNES Classic (Model 81AA) [Raphnet Wii Classic]","8bitdo sn30 2 4g snes classic model 81aa raphnet wii classic"
"8BitDo SN30 Pro USB [Wired USB] FW V1.04","8bitdo sn30 pro usb wired usb fw v1 04"
"8BitDo SN30 Pro+ [8BitDo USB Adapter Dinput] FW 3.02","8bitdo sn30 pro 8bitdo usb adapter dinput fw 3 02"
"8BitDo SN30 Pro+ [8BitDo USB Adapter X-Input] FW 3.02","8bitdo sn30 pro 8bitdo usb adapter x input fw 3 02"
"8BitDo SN30 Pro+ [8BitDo USB Adapter X-Input] FW 4.01","8bitdo sn30 pro 8bitdo usb adapter x input fw 4 01"
"8BitDo SN30 Pro+ [BT (CSR8510) Dinput] FW 3.02","8bitdo sn30 pro bt csr8510 dinput fw 3 02"
"8BitDo SN30 Pro+ [BT (CSR8510) MacOS] FW 3.02","8bitdo sn30 pro bt csr8510 macos fw 3 02"
"8BitDo SN30 Pro+ [BT (CSR8510) Switch] FW 3.02","8bitdo sn30 pro bt csr8510 switch fw 3 02"
"8BitDo SN30 Pro+ [BT (CSR8510) X-Input] FW 3.02","8bitdo sn30 pro bt csr8510 x input fw 3 02"
"8BitDo SN30 Pro+ [Wired USB] FW 4.01","8bitdo sn30 pro wired usb fw 4 01"
"8BitDo SNES Conversion PCB [BT (CSR8510) Android]","8bitdo snes conversion pcb bt csr8510 android"
"8BitDo SNES Conversion PCB [BT (CSR8510) MacOS]","8bitdo snes conversion pcb bt csr8510 macos"
"8BitDo SNES Conversion PCB [BT (CSR8510) Switch]","8bitdo snes conversion pcb bt csr8510 switch"
"8BitDo SNES Conversion PCB [BT (CSR8510) Windows]","8bitdo snes conversion pcb bt csr8510 windows"
"8BitDo Ultimate 2C Wireless Controller (Model 81HD) [8BitDo 2.4G USB Dongle]","8bitdo ultimate 2c wireless controller model 81hd 8bitdo 2 4g usb dongle"
"8BitDo Ultimate 2C Wireless Controller (Model 81HD) [BT (CSR8510)]","8bitdo ultimate 2c wireless controller model 81hd bt csr8510"
"8BitDo Ultimate 2C Wireless Controller (Model 81HD) [Wired USB]","8bitdo ultimate 2c wireless controller model 81hd wired usb"
"ASD JammASD [Wired USB]","asd jammasd wired usb"
"AliExpress - Gamecube Wireless [2.4GHz]","aliexpress gamecube wireless 2 4ghz"
"Behar Bros Hayabusa Supergun [PSX - Hayabusa - MiSTercade]","behar bros hayabusa supergun psx hayabusa mistercade"
"BlissBox BlisSTer v2 [Non-LLAPI Wired USB]","blissbox blisster v2 non llapi wired usb"
"Brook Universal Fighting Board [Wired USB PS3]","brook universal fighting board wired usb ps3"
"Brook Universal Fighting Board [Wired USB PS4]","brook universal fighting board wired usb ps4"
"Brook Universal Fighting Board [Wired USB Wii U]","brook universal fighting board wired usb wii u"
"Brook Universal Fighting Board [Wired USB Xbox 360]","brook universal fighting board wired usb xbox 360"
"Brook Wireless Fighting Board [BT (CSR8510)]","brook wireless fighting board bt csr8510"
"Brook Zero Pi Fighting Board [Wired USB]","brook zero pi fighting board wired usb"
"Buffalo iBuffalo Classic [Wired USB]","buffalo ibuffalo classic wired usb"
"Cyboris Switch Pro Controller [Wired USB]","cyboris switch pro controller wired usb"
"DaemonBite Arcade Controller [Wired USB]","daemonbite arcade controller wired usb"
"DaemonBite Dual Genesis to USB Adapter [Genesis 3 Button]","daemonbite dual genesis to usb adapter genesis 3 button"
"DaemonBite Dual Genesis to USB Adapter [Genesis 6 Button]","daemonbite dual genesis to usb adapter genesis 6 button"
"DaemonBite Genesis to USB Adapter [Genesis 3 Button]","daemonbite genesis to usb adapter genesis 3 button"
"DaemonBite PC Engine to USB Adapter [NEC PI-PD6 2 Button]","daemonbite pc engine to usb adapter nec pi pd6 2 button"
"DaemonBite SNES / SFC to USB Adapter [SNES]","daemonbite snes sfc to usb adapter snes"
"DaemonBite Saturn to USB Adapter [Saturn Japanese (171-6830B)]","daemonbite saturn to usb adapter saturn japanese 171 6830b"
"Elecom Wii Classic Gamepad Converter [Wii Classic]","elecom wii classic gamepad converter wii classic"
"Emio Edge Gamepad for SNES Mini [Wired USB]","emio edge gamepad for snes mini wired usb"
"FeralAI GP2040 Encoder [Wired USB] FW v0.4.3-beta.1","feralai gp2040 encoder wired usb fw v0 4 3 beta 1"
"Finiera USB 2.0 Games Controller Adapter Converter Cable [Wired USB]","finiera usb 2 0 games controller adapter converter cable wired usb"
"FlyDigi Vader 2 [BT (CSR8510)]","flydigi vader 2 bt csr8510"
"FlyDigi Vader 2 [BT Low Energy]","flydigi vader 2 bt low energy"
"FreeJoy FreeJoy [Wired USB]","freejoy freejoy wired usb"
"GamesCare Multi Console Arcade Stick (Large) [Wired USB]","gamescare multi console arcade stick large wired usb"
"Generic 1 Port SNES to USB (AliExpress) [Wired USB]","generic 1 port snes to usb aliexpress wired usb"
"Generic 2 Port Genesis to USB (Cable Style with 2 Blue Ports) [Wired USB]","generic 2 port genesis to usb cable style with 2 blue ports wired usb"
"Generic PS2 Controller to USB Adapter Converter Cable [Wired USB]","generic ps2 controller to usb adapter converter cable wired usb"
"Generic USB Port Game Controller Converter P2 to P3 Adapter Cable Without Driver [Wired USB]","generic usb port game controller converter p2 to p3 adapter cable without driver wired usb"
"Gravis GamePad Pro [Wired USB]","gravis gamepad pro wired usb"
"Hori - Fighting Commander Switch","hori fighting commander switch"
"Hori - Fighting Stick Mini","hori fighting stick mini"
"Hori Fighting Commander Octa (AB03-001) [Wired USB]","hori fighting commander octa ab03 001 wired usb"
"Hori Fighting Commander PS4 V2 [Wired USB PC]","hori fighting commander ps4 v2 wired usb pc"
"Hori Fighting Commander PS4 V2 [Wired USB PS3]","hori fighting commander ps4 v2 wired usb ps3"
"Hori Fighting Commander PS4 V2 [Wired USB PS4]","hori fighting commander ps4 v2 wired usb ps4"
"Hori Fighting Commander Wii Classic [8BitDo GC/Wii Classic USB]","hori fighting commander wii classic 8bitdo gc wii classic usb"
"Hori Fighting Commander Wii Classic [MayFlash Wii Classic USB]","hori fighting commander wii classic mayflash wii classic usb"
"Hori Fighting Commander Xbox One [Wired USB Non-LLAPI]","hori fighting commander xbox one wired usb non llapi"
"Hori Fighting Commander Xbox One [Wired USB PC / Xbox 360]","hori fighting commander xbox one wired usb pc xbox 360"
"Hori Fighting Commander Xbox One [Wired USB Xbox One]","hori fighting commander xbox one wired usb xbox one"
"Hori Fighting Stick Mini [Wired USB]","hori fighting stick mini wired usb"
"Hori Nintendo Switch HORIPAD [Wired USB]","hori nintendo switch horipad wired usb"
"Hori Pro Pad Wired Controller - Pokken Tournament DX Edition [Wired USB]","hori pro pad wired controller pokken tournament dx edition wired usb"
"Hori Real Arcade Pro 4 Kai [Wired USB PC]","hori real arcade pro 4 kai wired usb pc"
"Hori Real Arcade Pro 4 Kai [Wired USB PS3]","hori real arcade pro 4 kai wired usb ps3"
"Hori Real Arcade Pro 4 Kai [Wired USB PS4]","hori real arcade pro 4 kai wired usb ps4"
"Hori Real Arcade Pro N Hayabusa [Wired USB PS3]","hori real arcade pro n hayabusa wired usb ps3"
"Hori Real Arcade Pro N Hayabusa [Wired USB PS4]","hori real arcade pro n hayabusa wired usb ps4"
"Hori Real Arcade Pro V Hayabusa Nintendo Switch [Wired USB Switch]","hori real arcade pro v hayabusa nintendo switch wired usb switch"
"Hori TurboGrafx 16 Mini USB Controller [Wired USB]","hori turbografx 16 mini usb controller wired usb"
"Hyperkin GN6 Genesis Controller [Wired USB]","hyperkin gn6 genesis controller wired usb"
"JAMMIX JAMMIX [Wired USB]","jammix jammix wired usb"
"Krikzz Joyzz [DaemonBite Genesis]","krikzz joyzz daemonbite genesis"
"Logitech Dual Action Gamepad USB [Wired USB]","logitech dual action gamepad usb wired usb"
"Logitech F310 USB Gamepad [Wired USB Dinput]","logitech f310 usb gamepad wired usb dinput"
"Logitech F310 USB Gamepad [Wired USB Xinput]","logitech f310 usb gamepad wired usb xinput"
"Logitech F710 Wireless Gamepad [Wired USB Dinput]","logitech f710 wireless gamepad wired usb dinput"
"Logitech F710 Wireless Gamepad [Wired USB Xinput]","logitech f710 wireless gamepad wired usb xinput"
"MadCatz TE2+ Ryu SFV [Wired USB]","madcatz te2 ryu sfv wired usb"
"Mayflash - N64 MF103 Wired USB","mayflash n64 mf103 wired usb"
"Mayflash 2 Port SNES to USB [Wired USB]","mayflash 2 port snes to usb wired usb"
"Mayflash Arcade Stick F300 Elite [Console] FW V1.10","mayflash arcade stick f300 elite console fw v1 10"
"Mayflash Arcade Stick F300 Elite [Console] FW V1.12","mayflash arcade stick f300 elite console fw v1 12"
"Mayflash Arcade Stick F300 Elite [Console] FW V1.13","mayflash arcade stick f300 elite console fw v1 13"
"Mayflash Arcade Stick F300 Elite [DInput PS3 SNK] FW V1.12","mayflash arcade stick f300 elite dinput ps3 snk fw v1 12"
"Mayflash Arcade Stick F300 Elite [DInput PS3 SNK] FW V1.13","mayflash arcade stick f300 elite dinput ps3 snk fw v1 13"
"Mayflash Arcade Stick F300 Elite [DInput PS3] FW V1.10","mayflash arcade stick f300 elite dinput ps3 fw v1 10"
